AIMARA,ESPAÑOL,INGLES
Ukhamax walikiskiwa,Entonces está bien,Then it's okay
Aski urukïpan kullaka,Buenos días hermana,Good morning sister
Aski urukïpanay kullaka,Buenos días hermana,Good morning sister
Juman sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
"Nayan sutijax Lissetawa, jumasti?","Yo me llamo Lisset, ¿y tú?","My name is Lisset, and you?"
Nayan sutijax Camila satawa,Yo me llamo Camila,My name is camila
Qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
"Nayax kimsatunka mayani maranitwa, jumasti?","Yo tengo 31 años, ¿y tú?","I am 31 years old, and you?"
Nayax kimsatunka pusini maranitwa,Yo tengo 34 años,I am 34 years old
Jumax kawkitatasa?,¿Tú de dónde eres?,Where are you from?
"Nayax Santiago de Chile markatawa, jumasti?","Yo soy de Santiago de Chile, ¿y tú?","I am from Santiago de Chile, and you?"
Nayax Altupata markatawa,Yo soy de El Alto,I am from El Alto
Jumax qawqha kullakanitasa?,¿Tú cuantas hermanas tienes?,How many sisters do you have?
"Nayax kimsa kullakanitwa, jumasti?","Yo tengo 3 hermanas, ¿y tú?","I have 3 sisters, and you?"
Nayax janiw kullakanikti,Yo no tengo hermanas,I do not have sisters
Urumax kuna phaxsinkisa?,¿En qué mes es tu cumpleaños?,What month is your birthday?
Urujax achuqa phaxsinkiwa,Mi cumpleaños es en marzo,My birthday is in March
Jumax kuna luriritasa?,¿Cuál es tu ocupación?,What is your occupation?
"Nayax phayiritwa, jumasti?","Yo soy cocinera, ¿y tú?","I am a cook, and you?"
Nayax aljiritwa,Yo soy vendedora,I'm a saleswoman
Akax kunasa?,¿Qué es esto?,What's this?
Ukax pankawa,Eso es libro,that's book
Uywanitati kullaka?,¿Tienes animales hermana?,Do you have animals sister?
"Jisa, uywanitwa, pä phisimpi, kimsa anitumpi","Sí, tengo animales, 2 gatos y 3 perritos","Yes, I have animals, 2 cats and 3 puppies"
Kunas saminisa phisima?,¿De qué color es tu gato?,What color is your cat?
Phisijax q’illumpi janq`umpiwa,Mi gato es amarillo con blanco,my cat is yellow and white
Kunas ustam?,¿Qué te duele?,What hurts you?
Kayuw usutu kullaka,Me duele el pie hermana,my foot hurts sister
Kunjamas ustam?,¿Cómo te duele?,How does it hurt?
Anchapuniw usutu,Me duele mucho,It hurts me a lot
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Wasur arumat usutu,Me duele desde ayer en la noche,It hurts me since last night
Kuna achs munta?,¿Qué fruta quieres?,What fruit do you want?
Nayax puquta muntha,Yo quiero plátano,I want banana
Kuna manq’s munta kullaka?,¿Qué comida quieres hermana,what food do you want sister
Nayax charkikan manqañ muntha,Yo quiero comer Charquican,I want to eat Charquican
Kunjamas phayaña?,¿Cómo se cocina?,How is it cooked?
"Phayañaw ch’uñumpi, tunqumpi, ch’arkhimpi, tamuñampi, jumanpullampi, apichumpi, k’awnampi, jayumpi, arusampi, ch’uqimpi","Se cocina con shuño, maíz, charque, zapallo, cebolla, camote, huevo, sal, arroz y papa","It is cooked with shuño, corn, charque, pumpkin, onion, sweet potato, egg, salt, rice and potato."
Jichhurux kuna urunsa?,¿Qué día es hoy?,What day is today?
Jichhurux samaña uruwa,Hoy es sábado,Today is Saturday
Kuna pachasa kullaka?,¿Qué hora es hermana?,What time is it sister?
Tunka mayani alwat kimsa tunka k’atanakaw saraqxi,Son las 11:30 de la mañana,It's 11:30 in the morning
Qharurux jumax irnaqatati?,¿Tú trabajaras mañana?,You work tomorrow?
"Qharurux janiw irnaqkati, jurpuruw irnaqä","Mañana no voy a trabajar, pasado mañana trabajaré","Tomorrow I will not work, the day after tomorrow I will work"
"Kullakita, mayt’itasmati patak waranka, ampsuma","Hermana, me puedes prestar 100 bolivianos por favor","Sister, can you lend me 100 bolivianos please"
"Janiw kullaka, jniw qulqinikti","No hermana, no tengo plata","No sister, I have no money"
"Walikiskiwa, jikisiñkam kullaka Lisset","Esta bien, hasta la próxima hermana Lisset","Okay, see you next sister Lisset"
"Waliki, jikisiñkamay kullaka Camila","Bien, hasta luego hermana Camila",Well see you later sister Camila
Aski urukïpan Kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Juman sutimax kunas kullaka?,¿Cuál es tu nombre hermana?,What is your name sister?
"Nayan sutijax Mirian, jumansti?","Mi nombre es Mirian, ¿y de ti?","My name is Mirian, what about you?"
Nayax Noemi satatwa,Yo me llamo Noemi,My name is Naomi
Kamis kunjamasktas Noemi,¿Cómo estas Noemi?,How are you Naomi?
Janiw walikti,No estoy bien,"No, I'm fine"
"Kunas kamachi, kunas ustam?","¿Qué pasó, qué te duele?","What happened, what hurts?"
Janiw kunas uskituti,No me duele nada,nothing hurts
"Amparamaru, kunas mich’intam?","En tu mano, ¿qué te ha picado?","In your hand, what has stung you?"
"Ch’ampariw mich’intitu, ukat juk’akiw usutu",Me ha picado el sancudo y me duele poco,The sancudo has bitten me and it hurts a little
Nayax manq’añ munttha,Yo quiero comer,I want to eat
Jan manq’amti,No comas,Do not eat
"Ukax, kuna manq’asa?",¿Eso qué comida es?,what food is that?
"Akax saxta manq’awa, kuna manq’s munta","Esto sajta, ¿qué comida quieres?","This sajta, what food do you want?"
Nayax uka saxta muntha,Yo quiero esa sajta,I want that sajta
"Aka saxtax tatajankiwa, jupaw puriskiwa","Esta sajta es de mi papá, el esta llegando","This sajta is from my dad, he is coming"
Kuna pachas tatamax purini?,¿Qué hora llegara tu papá?,What time will your dad arrive?
Chika uruw jupax purini,Medio día él llegará,Noon he will arrive
Tatamax khitisa?,¿Quién es su tu papá?,Who is his your dad's?
Tatajax Teófiluwa,Mi papá es Teófilo,My dad is Teófilo
Jupax kuna luririsa?,¿Él a qué se dedica?,What does he do?
"Jupax conecciones eléctricas luriri, tatamasti?","Él es electricista, ¿y tu papá?","He is an electrician, and your dad?"
Tatajax qulliriwa,Mi papá es médico,my dad is a doctor
Isipax kuna saminisa?,¿Su ropa de qué color es?,What color is his clothes?
"Janq’u saminiwa, tatamansti?","Es color blanco, ¿de tu papá?","It's white, from your dad?"
Isipax laramawa,Su ropa es azul,his clothes are blue
Nayax manq’iri sarä,Yo iré a comer,I will go to eat
Sarxañäni,Vámonos,Let's go
Sarxañäniy,Vámonos pues,let's go then
Aski urukïpan Kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Kunas sutimaxa?,¿Cuál es tu nombre?,What is your name?
Nayan sutijax Rosawa,Mi nombre es Rosa,My name is Rosa
Jumansti?,¿Y el tuyo?,And yours?
Nayan sutijax Greciawa,Mi nombre es Grecia,my name is greece
Jumax kawkins jakta?,¿Tú dónde vives?,Where do you live?
Mecapacan jaktha,Yo vivo en Mecapaca,I live in Mecapaca
Jumasti?,¿Y tú?,And you?
Nayax Alto patan jaktha,Yo vivo en El Alto,I live in El Alto
Qhawqha maranitasa?,¿Cuántos años tienes?,How old are you?
Nayax kimsa tunka phisqani maranitwa,Yo tengo 35 años,I'm 35 years old
Jumasti?,¿Y tú?,And you?
Nayax kimsa tunka mayani maranitwa,Yo tengo 31 años,I'm 31 years old
Jumax uywanitati?,¿Tú tienes animales?,You have animals?
"Jisa, uywanitwa","Sí, tengo animales",yes i have animals
Jumasti?,¿Y tú?,And you?
Nayax mä jisk'a anitunitwa,Yo tengo un perrito pequeño,I have a small puppy
Kuna saminisa jisk'a anitumaxa?,¿Qué color es tu perrito?,What color is your puppy?
Nayan anitujax janq'uwa,Mi perrito es de color blanco,my puppy is white
Jumansti?,¿Y el tuyo?,And yours?
"Nayan pä phisitujax janq'umpi ch'iyarampiwa, ukhamaraki kimsa ch'iyar anitunitwa","Mis 2 gatitos son de color blanco y negro, también tengo 3 peritos de color negros","My 2 kittens are black and white, I also have 3 black kittens."
Jumax kuna luriritasa?,¿Cuál es tu ocupación?,What is your occupation?
Nayax yatichiritwa,Yo soy profesora,I'm a teacher
Jumasti?,¿Y tú?,And you?
Nayax aljiritwa,Yo soy vendedora,I'm a saleswoman
Kawkins aljasta kullaka?,¿Donde vendes hermana?,Where do you sell sister?
Nayax Villa Adelan aljtha,Yo vendo por Villa Adela,I sell for Villa Adela
Kunanaks aljta?,¿Qué cosas vendes?,What things do you sell?
Nayax taqi kun manq'añanak aljtha,Yo vendo todo tipo de alimentos,I sell all kinds of food
Jumax kawkins yatichta?,¿Tú dónde enseñas?,Where do you teach?
Nayax Sagrada Família jach'a yatiqañ utan yatichtha,Yo enseño en la UE Sagrada Familia,I teach at the UE Sagrada Familia
Qharurux kuns lurata kullaka?,¿Qué harás mañana herman?,What are you doing tomorrow brother?
"T'ant'a wawanaka, t'ant'a achachinaka, t'ant'a awilanaka, t'ant'a kawallunaka, muruq t'antanaka, ukanak lurä","Haré pan con figuras de niño, con figuras de hombre, con figuras de mujer, con figuras de caballo y panes redondos","I will make bread with figures of children, with figures of men, with figures of women, with figures of horses and round loaves"
Turu santutakit luräta?,¿Vas a hacer para Todos Santos?,Are you going to do for Todos Santos?
"Jisa kullaka, ukatakiw lurä?","Sí hermana, haré para eso","Yes sister, I will do for that"
"Kullaka Grecia, muruq t'antanak aljitataw ampsuma",Hermana Grecia me vas a vender panes redondos por favor,Sister Greece are you going to sell me round loaves please
Qhawqhs munata?,¿Cuántos vas a querer?,How many will you want?
Pä tunka t'antanak munä,Voy a querer 20 panes,I will want 20 loaves
Jumax t'antanak luratati?,¿Y tú harás panes?,And you will make bread?
"Janiw kullaka, nayax tatituruw sartha","No hermana, yo voy a la Iglesia","No sister, I go to church"
Waliki kullaka Rosa,Que bien hermana Rosa,Very good sister Rosa
Jumax qhaqha jilatitasa?,¿Tú cuántos hermanos tienes?,How many brothers do you have?
Nayax kimsa jilanitwa,Yo tengo 3 hermanos,I have 3 brothers
Jumasti?,¿Y tú?,And you?
Nayax mä kullakanitwa,Yo tengo una hermana,I have a sister
Jumax wawanitati?,¿Tú tienes hijos?,Do you have children?
"Jisa, kimsa wawanitwa, mä lluqalla, pä imillampi","Sí, tengo tres hijos un varón y dos mujeres","Yes, I have three children, one boy and two girls."
Jumasti?,¿Y tú?,And you?
"Jisa, ukhamarakiw mä yuqalla pä imillampi","De igual manera, tenso un hijo varón y dos hijas mujeres","Similarly, I have a son and two daughters"
Jisk'a wawamax qhawqha maranisa?,¿Tu hijo pequeño cuántos años tiene?,How old is your little son?
Jisk'a wawajax kimsa qallq maraniwa,Mi hijo pequeño tiene 8 años,My little son is 8 years old
Juman jisk'a wawamax qhawqha maranisa?,¿Tú pequeño hijo cuantos años tiene?,How old is your little son?
Nayan jisk'a wawajax pä maraniwa,Mi pequeña hija tiene 2 años,My little daughter is 2 years old
Juk'amp uñt'asiñataki maq'ir sarañäni kullaka,"Para conocernos más, vamos a comer","To get to know each other better, let's eat"
"Walikispaw kullaka, kunurus sarañäni?","Estaría bien herman, ¿qué día podemos ir?","That would be fine herman, what day can we go?"
Inti ur sarañani,Podemos ir el domingo,we can go sunday
kuna pachasa jikisiñäni?,¿A qué hora nos encontraremos?,What time will we meet?
"Tunka alwat, kimsa tunka k'atanakampikani ukhaw jikisiñani",Nos encontraremos a las 10:30 de la mañana,We will meet at 10:30 in the morning
Kawkins jikisiñäni?,¿En qué lugar nos encontraremos?,Where will we meet?
San Pedro Iglesia uka tuqina,En la iglesia de San Pedro,In the church of San Pedro
Ukhamax ukuruw jikisiñäni kullaka,Entonces ese día nos encontraremos hermana,So that day we will meet sister
"Walikiw kullaka niyaw jayp'uxi, sarxañatwa","Está bien hermana, ya es tarde me tengo que ir","It's okay sister, it's late I have to go"
Jikisiñkam kullaka Rosa,Hasta luego hermana Rosa,See you later sister Rose
Jikisiñkamay kullaka Grecia,Hasta luego hermana Grecia,See you later sister Greece
Aski urukïpan Kullaka,Buen día hermana,good morning sister
Aski urukïpanay jilata,Buen día hermano,Good day brother
Kamisaki kullaka?,¿Cómo estás hermana?,How are you sister?
"Waliki jilata, jumasti?",Estoy bien hermano ¿y tú?,I'm fine brother and you?
Walikiraki,También estoy bien,I'm fine too
Juman phuqhat sutimax kunasa?,¿Cuál es tu nombre completo?,What is your full name?
"Nayan sutijax Natividad Roselin Mamani Choque satatwa, jumansti?",Mi nombre es Natividad Roselin Mamani Choque ¿y de ti?,"My name is Natividad Roselin Mamani Choque, what about you?"
Nayan sutijax Cristofer Vidal Chacon Limachi satatwa,Mi nombre es Cristofer Vidal Chacon Limachi,My name is Cristofer Vidal Chacón Limachi.
Qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
"Pä tunka mayani maranitwa, jumasti?",Tengo 21 años ¿y tú?,"I am 21 years old, and you?"
Pä tunka paqallquni maranitwa,Tengo 27 años,I am 27 years old
Utaman uywanitati?,¿En tu casa tienes animales?,Do you have animals in your house?
"Jisa jilata, uywanitwa","Sí hermano, tengo animales","Yes brother, I have animals"
Qawqha uywanitasa?,¿Cuántos animales tienes?,How many animals do you have?
"Pä phisimpi, pä anumpi uywanitwa, jumasti?",Tengo 2 gatos y 2 perros ¿y tú?,"I have 2 cats and 2 dogs, and you?"
Pä wallpanitwa,Tengo 2 gallinas,I have 2 chickens
Kawkhans jakasta?,¿Dónde vives?,Where you live?
"Nayax Chukiyawunkiritwa, jumasti?","Yo soy de La Paz, ¿y tú?","I am from La Paz, and you?"
Nayax Tacnankiritwa,Yo soy de Tacna,I am from Tacna
Kuna manq's munta?,¿Qué comida quieres?,What food do you want?
"Nayax saxta muntha, jumasti?",Yo quiero sajta ¿y tú?,I want sajta and you?
Nayax wallaqi muntha,Yo quiero allaque,I want allaque
Kuna phaxsinktansa?,¿En qué mes estamos?,What month are we in?
Taypi sata phaxsinktanwa,Estamos en el mes de octubre,We are in the month of October
Urumax kuna phaxsinkisa?,¿Qué mes es tu cumpleaños?,What month is your birthday?
"Urujax Llamayu phaxsinkiwa, jumansti kullaka?",Mi cumpleaño es en el mes de mayo ¿y de ti hermana?,"My birthday is in the month of May, and your sister?"
Urujax Jallu qallta phaxsinkiwa,Mi cumpleaño es en el mes de diciembre,My birthday is in December
Jichhürux kuna urusa?,¿Hoy que día es?,What day is it today?
Jichürux phaxsi uruwa,Hoy es día lunes,Today is Monday
Qharurux kuna urunisa?,¿Mañana eué día será?,What day will it be tomorrow?
Qharurux saxra uruniwa,Mañana será martes,tomorrow will be tuesday
Kunas ustam?,¿Qué te duele?,What hurts you?
Nayar kunkajaw usutu,Me duele mi cuello,My neck hurts
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
Mamurayaw mich'intitu,Me ha picado la abeja,the bee stung me
Waliti ustam,¿Te duele mucho?,Does it hurt a lot?
Janiw sint uskituti,No me duele mucho,it doesn't hurt much
Kuna pachasa?,¿Qué hora es?,What time is it?
Llätunka aruma pachawa,Son las 9:00 de la noche,It's 9:00 at night
Jikisiñkam jilata,Hasta luego hermano,See you later brother
Jikisiñkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan jilata,Buenos días hermano,Good morning brother
Aski urukïpanay kullaka,Buenos días hermana,Good morning sister
Kunjamasktasa?,¿Cómo estás?,How are you?
Waliki! Jumasti?,¡Bien! ¿Y tú?,Well! And you?
Waliskarakthwa. Kunas sutimax jilata?,Estoy bien también. ¿Cuál es tu nombre hermano?,I'm fine too. What is your name brother?
"Nayan sutijax Raymundowa, jumamsti?","Mi nombre es Raymundo, ¿y el tuyo?","My name is Reymundo, and yours?"
"Nayax María del Carmen satathwa. Jilata Raymundo, qhawqa maranitasa?","Mi nombre es María del Carmen. Hermano Raymundo, ¿cuántos años tienes?","My name is Maria del Carmen. Brother Raymundo, how old are you?"
"Pusi tunka mayani maranithwa, jumasti?","Tengo cuarenta 41 años, ¿y tú?","I am forty 41 years old, and you?"
"Nayax kimsa tunka phisqani 35 maranithwa. Jilata, kawkitatasa?",Yo tengo 35 años. ¿Hermano de dónde eres?,I'm 35 years old. Brother where are you from?
"Nayax Perú jach’a suyunkirithwa, Puno sullka suyun utjasiraktxa",Yo soy de Perú y vivo en el departamento de Puno,I am from Peru and I live in the department of Puno
Kunans irnaqta jilata?,¿En qué trabajas hermano?,What are you working on brother?
"Kullaka nayax yatichirithwa, jumasti?","Hermana, yo soy profesor, ¿y tú?","Sister, I am a teacher, and you?"
Nayax utajanakwa irnaqtha,Yo sólo trabajo en mi casa,I only work at home
"Kullaka María, qawqha jila kullakanitasa?",Hermana María ¿cuántos hermanos y hermanas tienes?,"Sister Maria, how many brothers and sisters do you have?"
"Pä jila, phisqa kullakanithwa",Tengo d2 hermanos y 5 hermanas,I have d2 brothers and 5 sisters
Kuna phaxsin yuritatasa kullaka?,¿En qué mes habías nacido hermana?,In what month were you born sister?
"Sata phaxsina, jumasti?","En el mes de septiembre, ¿y tú?","In the month of September, and you?"
Chinuqa phaxsina,En el mes de enero,In January
Kuna muxsa achunaks wal manq’irïta,¿Qué frutas te gusta comer?,What fruits do you like?
"Uwasampi, puqutampi, laranjampi","Uvas, plátano y naranja","Grapes, banana and orange"
"Jilata Raymundo, kuna juyranaks yapuchta?","Hermano Raymundo, ¿qué productos cultivas?","Brother Raymundo, what products do you grow?"
"Ch’uqi, apilla, isañu, ulluku, jawasa, yaqhanakampi","Papa, oca, isaño, paplisa, habas, y otros","Potato, oca, isaño, paplisa, broad beans, and others"
"Ch’uqimpi ullukumpi, ch’arkhimpi, wali suma ulluk kaltu phayiristha","Con la papa, la papalisa y el charque, puedo cocinar un rico caldo de papalisa","With the potato, the papalisa and the charque, I can cook a delicious papalisa broth"
Kuna manq’as markaman wali uñyt’ata?,¿Qué comida es la más conocida en tu pueblo?,What food is the best known in your town?
Chayruwa. Markamansti jilata?,Es el chairo. ¿Y en tu pueblo hermano?,It's the chair. And in your brother town?
Khuchi kankawa,Es el asado de chancho,It's the pig roast
Ayllumanx kuna uywanaks uyta?,¿Que animales crías en tu comunidad?,What animals do you raise in your community?
Nayax kimsa waka uywtha. Jumasti?,Yo crio tres vacas ¿Y tú?,I raised three cows and you?
"Mä ch’iyar phisinithwa, Philix satawa","Yo tengo un gato negro, se llama Félix","I have a black cat, his name is Felix."
Wali sum uywat kullaka,Cuídalo bien hermana,take good care of it sister
"Jilata, wali suma saminakanirakis chumpamaxa!",Hermano ¡que bonitos colores tiene tu chompa!,"Brother, what beautiful colors your sweater has!"
"Ukhamaw, janq’umpi, laramapi, sajunampiwa. Kullaka, jumax kuna saminakaraks wali munta?","Así es hermana, es blanco, azul y celeste. Hermana ¿tú que colores prefieres?","That's right sister, it's white, blue and light blue. Sister, what colors do you prefer?"
"Q’illumpi, kullimpi, sisirampi, antimpwa","El amarillo, el lila, el anaranjado y el rosado","Yellow, lilac, orange and pink"
"Kullaka, jumax jaqichasxtati?",Hermana ¿tú ya te has casado?,"Sister, are you already married?"
Janiraw jilata,Aún no hermano,not yet brother
"Kullaka, saxra urumpin ñanqha urumpin, janipuniw jaqichasitati","Hermana, los días martes y viernes, no te vas a casar","Sister, on Tuesdays and Fridays, you are not going to get married"
Samañ urux waliti jaqichasiñatakixa?,¿El día sábado es buen día para casarse?,Is Saturday a good day to get married?
"Jisa, wali suma uruwa","Sí, es un buen día",Yeah it's a good day
Kuna pachaxis jilata?,¿Qué hora ya es hermano?,What time is it bro?
Kimsaqalqu alwa chikatanixiwa,Son las 08:30 de la mañana,It's 08:30 in the morning
"Pachaxiw jilata, jutir phaxsin aruskiparakiñani, jichhax qulliriwkaru sarä, p’iqimpi, laka ch’akhampiw usutu","Ya es hora hermano, conversaremos el próximo mes, ahora tengo que ir donde el médico, me duele la cabeza y mi diente","It's time brother, we'll talk next month, now I have to go to the doctor, my head and my tooth hurt"
"Ukhamax, jutir phaxsikam Kullaka María del Carmen","Entonces, hasta el próximo mes hermana María del Carmen","So, until next month sister María del Carmen"
Jutir phaxsikamay jilata Raymundo,Hasta el próximo mes hermano Raymundo,Until next month brother Raymundo
Aski urukïpan jilata Juan,Buenos días hermano Juan,Good morning brother John
Aski urukïpanay kullaka Lily,Buenos días hermana Lily,Good morning sister Lily
Kamisaki jilata Juan?,¿Cómo está hermano Juan?,How is brother Juan?
"Waliki, jumasti?","Bien, ¿y tú?","Well, and you?"
Waliki. Kuna phaxsinktansa?,Bien. ¿En qué mes estamos?,Well. What month are we in?
Lapaqa phaxsinktanwa,Estamos en noviembre,It's November
Pay. Urumax kuna phaxsinkisa jilata Juan?,Gracias. ¿En qué mes es tu cumpleaños hermano Juan?,Thanks. In what month is your birthday brother Juan?
Urujax jallu qallta phaxsinkiwa. Nayax kimsa tunka maranitwa,Mi cumpleaños es en diciembre. Tengo 30 años,My birthday is in December. I am 30 years old
Tatamax qawqha maranitasa?,¿Qué edad tiene tu papá?,How old is your dad?
Tatajax suxta tunka maranitwa. Jupax yapuchirwa,Mi papá tiene 60 años. Él es agricultor,My dad is 60 years old. He is a farmer
"Waliki. Tatajax uywachiriwa, jupax pätunka iwijaniwa","Bien. Mi papá es granjero, él tiene 20 ovejas","Well. My dad is a farmer, he has 20 sheep."
Waliki. Kullaka Lily amparaw usutu,Bien. Hermana Lily me duele el brazo.,"Well. Sister Lily, my arm hurts."
Kunats ustam jilata Juan?,¿Por qué te duele hermano Juan?,Why does brother Juan hurt you?
Tamurayaw mich’intitu,Me picó una abeja,he stung me by a bee
Kunaqata?,¿Cuándo?,When?
"Wasuru, kullaka Lily","Ayer, hermana Lily","Yesterday, sister Lily"
Wasurux kuna urunsa jilata Juan?,"¿Qué día fue ayer, hermano Juan?","What day was it yesterday, brother Juan?"
Wasurux illap urunwa. Kuna pachasa?,Ayer fue jueves. ¿Qué hora és?,Yesterday was Thursday. What time is it?
Kimsaqallqu aruma pachawa,Son las 08:00 de la noche,It's 08:00 at night
"Qharurux alwat irnaqä, jumasti?",Mañana trabajaré temprano ¿y tú?,Tomorrow I will work early and you?
Nayax jan irnaqti. Nayax utankirikitwa. Chachajakiw irnaqi,Yo no trabajo. Yo soy ama de casa. Sólo mi esposo trabaja,I do not work. I am a housewife. only my husband works
Jupax kuna luririsa?,¿Cuál es la ocupación de él?,What is his occupation?
Jupax jakhuriwa,Él es contador,He is accountant
Jupax kawkitasa,¿De dónde es él?,Where is he from?
Jupax Tacnatawa,Él es de Tacna,He is from Tacna
Jumax qawqha wawanitasa?,¿Tú cuántos hijos tienes?,How many children do you have?
Nayax mä phuchanitwa,Yo tengo una hija,I have a daughter
Jupan sutipax kunasa?,¿Cuál es su nombre?,What is his name?
Jupan sutipax Camilawa,Su nombre es Camila,His name is Camila
Bien,Waliki,Waliki
Jumax qawqha wawanitasa jilata Juan?,¿Cuántos hijos tiene hermano Juan?,How many children does brother Juan have?
Janiw wawanikti kullaka Lily. Nayax mä phisinikitwa,No tengo hijos hermana Lily. Yo tengo sólo un gato,I have no children sister Lily. I only have one cat
Phisimax qawqha maranisa?,¿Cuántos años tiene tu gato?,How old is your cat?
Phisijax pä maraniwa,Mi gato tiene dos años,my cat is two years old
Phisimax qawqha wawanisa?,¿Cuántas crías tiene tu gato?,How many kittens does your cat have?
Phisijax kimsa wawaniwa,Mi gato tiene 3 crías,my cat has 3 pups
Waliki,Bien,Well
Jikisiñkam kullaka Lily,Chao hermana Lily,Bye Sister Lily
Jikisiñkamay jilata Juan,Chao hermano Juan,Bye brother John
Aski alwakïpan kullaka,Buen día hermana,good morning sister
Aski alwakïpanay kullaka,Buen día hermana,good morning sister
Kamisaki kullaka?,¿Cómo estás hermana?,How are you sister?
"Waliki kullaka, jumansti?","Bien hermana, ¿y tú?","Well sister, and you?"
Waliki kullaka,Bien hermana,good sister
Juman sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
"Nayan sutijax Rutiwa, jumansti?","Mi nombre es Ruth, ¿y tú?","My name is Ruth, and you?"
Nayan sutijax Victoriawa,Mi nombre es Victoria,My name is victoria
Kullaka qawqha maranitasa?,Hermana ¿cuántos años tienes?,"Sister, how old are you?"
"Nayax kimsa tunka llätunkani maranitwa, jumansti?","Yo tengo 39 años, ¿y tú?","I am 39 years old, and you?"
Nayax kimsa tunka payani maranitwa,Yo tengo 32 años,I am 32 years old
Kullaka qawqha jilanitasa?,"Herman, ¿cuántos hermanos tienes?","Herman, how many siblings do you have?"
"Nayax janiw jilanikti, jumansti?","Yo no tengo hermanos, ¿y tú?","I don't have siblings, do you?"
Nayax kimsa jilanitwa,Yo tengo 3 hermanos,I have 3 brothers
Tatamax qawqha kullakanisa?,¿Tu papá cuantas hermanas tiene?,How many sisters does your dad have?
Tatajax pusi kullakaniwa,Mi papá tiene 4 hermanas,My dad has 4 sisters.
Jupax khitisa?,¿Quién es él?,Who is he?
Jupax yuqajawa,Él es mi hijo,He is my son
Yuqamax qawqha maranisa?,¿Tu hijo cuantos años tiene?,How old is your son?
Yuqajax tunka payani maraniwa,Mi hijo tiene 12 años,my son is 12 years old
Akax khitinkisa?,¿Esto de quién es?,Whose is this?
Ukax tatajankiwa,Eso es de mi papá,that's from my dad
Jumax kawkitatasa?,¿Tú de dónde eres?,Where are you from?
"Nayax Viachatatwa, jumansti?","Yo soy de Viacha, ¿y tú?","I'm from Viacha, and you?"
Nayax Altu patatatwa,Yo soy de El Alto,I am from El Alto
Jumax kuna luriritasa?,¿Tú a que te dedicas?,What do you do?
"Nayax arxatiritwa, jumansti kullaka?","Yo soy abogada, ¿y tú hermana?","I am a lawyer, and your sister?"
Nayax yatichiritwa,Yo soy profesora,I'm a teacher
Urumax kuna phaxsinkisa kullaka?,¿Tu cumpleaños en que mes es hermana?,What month is your birthday sister?
Urujax anata phaxsinkiwa,Mi cumpleaños es en febrero,My birthday is in February
Kunas ustam?,¿Qué te duele?,What hurts you?
Kayuw usutu,Me duele el pie,My foot hurts
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Wasur arumata,Desde ayer en la noche,since last night
Sintit ustam?,¿Te duele mucho?,Does it hurt a lot?
"Jisa, sintiw usutu","Sí, me duele mucho",If it really hurts
Kawkhachaqapunis ustam?,¿Dónde siempre te duele?,Where do you always hurt?
Kupi kayu muqu usutu,Me duele el tobillo derecho,my right ankle hurts
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
Kay q'iwsustwa,Me torcí el pie,I twisted my foot
Akax apillati?,¿Esto es oca?,Is this goose?
"Janiwa, ukax kayawa","No, eso es caya","no, that's cay"
Kuna achs munta?,¿Qué fruta quieres?,What fruit do you want?
Nayax palta muntha,Yo quiero palta,I want avocado
Kuna manq ́s munta?,¿Qué comida quieres?,What food do you want?
Nayax p’isqi muntha,Yo quiero pesque,I want to fish
Kunampis phayaña?,¿Con qué se cocina?,What is it cooked with?
"Juphampi, jayumpi, wayk ́ampi, kisumpi","Con quinua, sal, ají y queso","With quinoa, salt, chili and cheese"
Qawqha uywanitasa?,¿Cuántos animales tienes?,How many animals do you have?
Nayax pä anunitwa,Yo tengo 2 perros,I have 2 dogs
Jumansti kullaka?,¿Y tú hermana?,And your sister?
Janiw utjkituti kullaka,"No tengo, hermana",I do not have a sister
Akax kunasa?,¿Qué es esto?,What's this?
Akax larama pankawa,Esto es un libro azul,this is a blue book
Kuna phaxsisa?,¿Qué mes es?,What month is it?
Taypi sata phaxsiwa,Es el mes de octubre,It's the month of October
Jichhurux kuna urusa?,¿Hoy qué día es?,What day is it today?
Jichhurux ñanqha uruwa,Hoy es viernes,Today is Friday
Wasurux kuna urunsa?,¿Ayer qué día era?,What day was it yesterday?
Wasurux illap urunwa,Ayer era jueves,yesterday was thursday
Kuna pachasa?,¿Qué hora es?,What time is it?
Suxta alwat pä tunka phisqani k’atanakaw saraqxi,Son las 6:25 de la mañana,It's 6:25 in the morning
Qharurkam kullaka,Hasta mañana hermana,see you tomorrow sister
Qharurkamay kullaka,Hasta mañana hermana,see you tomorrow sister
